"","FSC.A","FSC.H","FSC.W","BSC.A","BSC.H","BSC.W","DAPI","H2Db","HLA","Well","Annot","CB"
"1",745687.4,163918.7,509,253125,58947.84,509,51.45284,730.9421,11850.37,"A01","Persister","S1"
"2",684195,164044.2,479,193917.3,47755.68,479,182.9034,134.7465,3066.875,"A02","Persister","S17"
"3",708941.4,156641,508,161257.5,37240,508,43.50396,388.1692,11304.84,"A03","Persister","S33"
"4",284343.9,84123.2,328,110611.4,36264.48,328,113.6399,38.37329,2970.427,"A04","Persister","S49"
"5",401842.3,100296,411,135488.5,37421.44,411,12.2124,339.5992,2342.381,"A05","Persister","S65"
"6",532007.4,115404.8,467,139921.2,34834.24,467,58.61266,152.5275,3745.16,"A06","Persister","S81"
"7",393971.9,101095.7,396,117984.6,32622.24,396,59.41363,120.1613,14350.16,"A07","Persister","S97"
"8",340672.2,110476.8,337,91668.83,29917.44,337,-3.446965,-79.74677,2524.169,"A08","Persister","S113"
"9",468746.1,130728.6,408,132520.2,35425.6,408,188.7771,77.69337,1758.33,"A09","Persister","S129"
"10",494628.8,112053.8,452,147332.2,35104.16,452,138.754,699.2744,11297.5,"A10","Persister","S145"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A11","Persister","S161"
"12",314428.1,105058.2,320,91258.36,30935.52,320,212.4437,177.4288,1014.404,"A12","Persister","S177"
"13",216395.3,75243.84,267,28261.2,10724,267,99.01296,282.0486,1433.652,"B01","Persister","S2"
"14",440390.8,110785.9,416,79382.32,23008.16,416,141.5305,249.8911,1987.974,"B02","Persister","S18"
"15",407910.3,115557.1,379,102018.7,29103.2,379,121.3529,61.56901,860.6592,"B03","Persister","S34"
"16",643420.3,136498.9,504,142953,34165.6,504,67.73787,206.0405,1840.63,"B04","Persister","S50"
"17",600765.8,164584,462,168998.8,40572,462,150.966,253.1524,1238.026,"B05","Persister","S66"
"18",460855.3,119560,414,147892.1,41307.84,414,51.34529,50.16622,899.2718,"B06","Persister","S82"
"19",701794.3,154533.1,497,178400.4,40859.84,497,45.7955,304.6339,10775.51,"B07","Persister","S98"
"20",512543,127933.1,460,158535.1,39001.76,460,107.9953,180.5188,744.8701,"B08","Persister","S114"
"21",240010.3,84723.52,279,53054.06,19031.04,279,2.609034,75.42056,1699.262,"B09","Persister","S130"
"22",601521.5,126156.8,491,177557.3,39821.6,491,161.2458,348.5333,7754.49,"B10","Persister","S146"
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B11","Persister","S162"
"24",355557.5,102209,363,79451.04,22684.48,363,16.28293,559.7275,5717.366,"B12","Persister","S178"
"25",473305.6,121470.7,426,143516.8,38041.92,426,203.3528,42.21757,1639.056,"C01","Persister","S3"
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C02","Persister","S19"
"27",400297.8,111905.9,394,129278.5,36004.64,394,89.87634,1.844387,3314.701,"C03","Persister","S35"
"28",557590.6,122418.2,494,154571.4,37188.48,494,69.12739,-69.87226,7459.548,"C04","Persister","S51"
"29",267163.8,77038.08,322,82420.91,29244.32,322,124.6734,32.53612,597.9471,"C05","Persister","S67"
"30",498701.8,138297.6,416,104513.8,26650.4,416,190.6953,75.64059,2905.148,"C06","Persister","S83"
"31",324230.1,82611.2,371,137021.4,38954.72,371,138.7697,34.18687,1181.572,"C07","Persister","S99"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C08","Persister","S115"
"33",465432.6,109265,437,106055,28129.92,437,163.3396,78.46552,648.6781,"C09","Persister","S131"
"34",597849.8,131313.3,493,137680.5,31389.12,493,145.1205,189.5115,1868.324,"C10","Persister","S147"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C11","Persister","S163"
"36",472724,136100.2,398,94517.2,26587.68,398,113.8793,106.2447,1144.326,"C12","Persister","S179"
"37",580126.4,135461.8,468,148054.3,33910.24,468,146.5277,129.8415,944.8253,"D01","Persister","S4"
"38",275381.3,83164.48,317,70361.89,20885.76,317,23.16622,24.39449,3024.37,"D02","Persister","S20"
"39",265957.5,96510.4,291,28206.4,10469.76,291,87.84963,-11.91722,1093.421,"D03","Persister","S36"
"40",535109.2,144052.2,428,89764.68,24859.52,428,88.69091,183.403,10481.58,"D04","Persister","S52"
"41",385168.6,93573.76,403,113470.2,30616.32,403,89.72364,329.9857,5481.319,"D05","Persister","S68"
"42",202763.2,82676.16,248,24120.95,9541.28,248,34.77868,-36.87694,584.2504,"D06","Persister","S84"
"43",531641.9,128652.2,447,96915.33,25325.44,447,129.7618,153.8488,6538.152,"D07","Persister","S100"
"44",559563.6,127603.8,467,176299.9,42355.04,467,21.56014,218.8913,749.1261,"D08","Persister","S116"
"45",299815.5,74688.32,355,128333.6,35990.08,355,123.0605,41.90244,466.5062,"D09","Persister","S132"
"46",579751.2,141720.3,451,128853.1,33584.32,451,114.8188,15.01312,7881.033,"D10","Persister","S148"
"47",508200.1,113066.2,467,130377.4,29811.04,467,108.7787,742.483,1909.006,"D11","Persister","S164"
"48",455070.4,114289.3,416,115035.3,31741.92,416,18.17088,853.8394,7006.779,"D12","Persister","S180"
"49",518784.3,119309.1,463,238427.8,56131.04,463,212.5252,238.184,1273.931,"E01","Persister","S5"
"50",428398.3,114773.1,396,86684.98,25197.76,396,89.99821,142.7743,2334.542,"E02","Persister","S21"
"51",298929.5,96380.48,320,35636.83,11772.32,320,83.06008,81.4811,1648.911,"E03","Persister","S37"
"52",618295.1,142486.4,476,116122.3,28483.84,476,92.13772,287.9714,10614.42,"E04","Persister","S53"
"53",370887.9,101651.2,373,64252.26,18155.2,373,76.21852,6.740644,1254.06,"E05","Persister","S69"
"54",545397.1,137822.7,450,112905.2,26451.04,450,63.04751,-13.25286,1601.513,"E06","Persister","S85"
"55",614227.4,142914.2,478,139744.8,33600,478,136.6591,86.62238,865.2997,"E07","Persister","S101"
"56",468054,127283.5,411,138555.3,38533.6,411,135.8146,191.3986,2100.764,"E08","Persister","S117"
"57",396179.2,116484.5,373,74387.69,21957.6,373,24.70684,110.9728,1455.271,"E09","Persister","S133"
"58",438438.3,128107.8,387,92182.07,24587.36,387,81.42377,80.6496,3299.075,"E10","Persister","S149"
"59",368677.6,111751.4,359,119999.3,32534.88,359,69.65509,107.3806,733.7672,"E11","Persister","S165"
"60",624628.9,109574.1,554,289639.2,52590.72,554,152.6703,67.03292,7129.705,"E12","Persister","S181"
"61",546462.1,129395.8,485,184297.6,43431.36,485,151.8426,-3.471308,3769.526,"F01","Persister","S6"
"62",478395.5,137394.9,402,142085.6,38469.76,402,18.29196,-35.91028,2297.895,"F02","Persister","S22"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F03","Persister","S38"
"64",812745.2,154347.2,570,259966.4,53160.8,570,116.3585,766.6079,5192.166,"F04","Persister","S54"
"65",290112.3,82994.24,334,114861.1,33007.52,334,146.5728,177.5989,1087.722,"F05","Persister","S70"
"66",591028.3,135193,483,140995.7,30784.32,483,74.38029,-50.77491,13534.25,"F06","Persister","S86"
"67",479668.3,127886.1,416,107442.9,29688.96,416,57.95361,120.4107,1186.277,"F07","Persister","S102"
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F08","Persister","S118"
"69",500667.5,143566.1,406,64447.94,18587.52,406,79.34122,37.1002,1255.645,"F09","Persister","S134"
"70",266804.3,87124.8,303,84816.07,28105.28,303,60.54779,97.73718,3202.88,"F10","Persister","S150"
"71",417844.6,112707.8,401,75347.09,18360.16,401,64.01563,118.1425,616.1105,"F11","Persister","S166"
"72",473484,110714.2,440,141456.5,32821.6,440,76.30396,355.8059,6432.121,"F12","Persister","S182"
"73",550428.3,144809.3,438,88306.1,22746.08,438,80.83308,229.473,6318.954,"G01","Persister","S7"
"74",612162.5,137112.6,478,151865.1,38008.32,478,120.6808,26.66924,6960.874,"G02","Persister","S23"
"75",495332.4,139021.1,412,156182.8,39551.68,412,209.7431,82.56363,8126.973,"G03","Persister","S39"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G04","Persister","S55"
"77",667409.9,140548.8,511,278589.1,63196,511,123.4554,22.7815,1736.209,"G05","Persister","S71"
"78",588475.1,146590.1,455,124754.2,31823.68,455,23.46192,219.6664,6441.073,"G06","Persister","S87"
"79",479982.5,132281,408,84200.2,22930.88,408,108.7191,178.3249,1345.019,"G07","Persister","S103"
"80",518403.4,141344,415,147275.9,38388,415,160.6237,107.5096,7626.699,"G08","Persister","S119"
"81",481179,118970.9,431,112041.1,30675.68,431,77.63916,96.6732,11149.63,"G09","Persister","S135"
"82",559766.4,114898.6,506,236152.3,55529.6,506,66.00345,98.39712,1907.896,"G10","Persister","S151"
"83",375849.7,107087.7,372,108605.3,31025.12,372,44.55687,132.5615,2673.349,"G11","Persister","S167"
"84",711985.3,168275.5,502,214682.2,46754.4,502,146.6823,191.7596,3553.865,"G12","Persister","S183"
"85",449210.6,106798.7,429,153192.3,39103.68,429,32.81906,279.8645,5034.304,"H01","Persister","S8"
"86",618972.4,140786.2,488,129945.4,32437.44,488,18.50955,92.94427,5225.963,"H02","Persister","S24"
"87",595607.2,127090.9,498,145896.3,33843.04,498,119.3366,104.1895,2874.041,"H03","Persister","S40"
"88",588303.2,123970.6,500,157899.6,35518.56,500,184.7558,168.6037,6421.163,"H04","Persister","S56"
"89",572657.3,126136.6,486,221863.1,51185.12,486,112.1106,153.9459,3607.944,"H05","Persister","S72"
"90",555330.5,145084.8,441,99859.63,24979.36,441,43.45073,182.0154,3113.761,"H06","Persister","S88"
"91",656017.4,147967.7,499,143103.7,31485.44,499,105.852,213.5264,1199.928,"H07","Persister","S104"
"92",498594.1,136944.6,411,80551.94,22094.24,411,164.9122,185.5186,1320.236,"H08","Persister","S120"
"93",299493.2,102679.4,315,55245.12,20311.2,315,191.9567,-11.34811,3165.184,"H09","Persister","S136"
"94",390144.3,119112,365,67234.51,20837.6,365,91.63194,98.76827,512.8386,"H10","Persister","S152"
"95",292288.1,87743.04,326,68715.9,21525.28,326,81.21693,56.74379,2676.862,"H11","Persister","S168"
"96",306265.8,85330.56,344,111363.7,33169.92,344,167.9675,82.4358,824.1093,"H12","Persister","S184"
"97",549518.1,128905.3,457,124678.4,29391.04,457,109.5466,298.3753,9621.689,"I01","Persister","S9"
"98",297795.5,82382.72,350,97528.5,31112.48,350,123.4052,57.15797,2352.824,"I02","Persister","S25"
"99",652302.6,150232.3,485,117148.8,31575.04,485,99.06271,125.4301,3951.038,"I03","Persister","S41"
"100",484680.9,102493.4,466,133137.6,31587.36,466,144.1879,121.8399,1376.598,"I04","Persister","S57"
"101",588957.1,158097,442,93905.63,24756.48,442,114.2596,185.2098,3197.484,"I05","Persister","S73"
"102",406000.3,100634.2,406,101083.7,26601.12,406,163.6895,208.0504,7046.32,"I06","Persister","S89"
"103",528775.5,114741.8,465,142069,34827.52,465,68.87948,220.3599,4561.265,"I07","Persister","S105"
"104",271824.4,100555.8,293,38170.29,13295.52,293,124.5019,-25.54148,1196.428,"I08","Persister","S121"
"105",530327.6,126940.8,460,130011.8,32864.16,460,98.45592,202.8118,1346.825,"I09","Persister","S137"
"106",293905.4,91665.28,322,73747.88,22786.4,322,160.1123,296.1044,2127.511,"I10","Persister","S153"
"107",280138.1,78097.6,329,98774.38,30084.32,329,77.01863,123.2229,1066.052,"I11","Persister","S169"
"108",482191.2,119015.7,439,89710.52,23636.48,439,152.1496,172.9088,2012.661,"I12","Persister","S185"
"109",482024.6,125258.6,420,115862.3,31973.76,420,154.1691,616.4429,13561.94,"J01","Persister","S10"
"110",480309.2,125885.8,423,99840.95,25648,423,79.66579,61.40018,2798.053,"J02","Persister","S26"
"111",677088.4,145868.8,507,152389.3,35185.92,507,88.58609,751.2058,12298.65,"J03","Persister","S42"
"112",513882.6,117980.8,452,96506.95,22406.72,452,130.5475,97.6766,1211.868,"J04","Persister","S58"
"113",434953.4,110037.8,418,157286.8,42342.72,418,107.8689,366.4847,2678.397,"J05","Persister","S74"
"114",669229.9,138777,541,196904.6,41408.64,541,84.39052,174.2908,7420.919,"J06","Persister","S90"
"115",343773.3,102583,351,57943.21,18066.72,351,47.36877,115.6735,2704.557,"J07","Persister","S106"
"116",550438.9,111395.2,509,208381,47905.76,509,174.9852,35.66842,2386.062,"J08","Persister","S122"
"117",247279.4,88838.4,284,55744.78,20684.16,284,88.80875,109.9016,1396.706,"J09","Persister","S138"
"118",547726.1,114936.6,501,270274.1,49418.88,501,144.9744,162.7927,741.6177,"J10","Persister","S154"
"119",619927.6,133833.3,492,150870,36505.28,492,18.61569,38.94355,7545.208,"J11","Persister","S170"
"120",687629.7,147233,512,191785.6,40220.32,512,174.689,111.5591,5974.113,"J12","Persister","S186"
"121",351177,106834.6,350,90521.64,26789.28,350,63.42167,370.6988,11616.79,"K01","Persister","S11"
"122",506918.2,122451.8,441,180462.2,43906.24,441,89.4264,88.1469,8678.279,"K02","Persister","S27"
"123",570349.8,144076.8,450,90498.16,25215.68,450,93.13995,-55.1598,3107.198,"K03","Persister","S43"
"124",560458,140649.6,469,156271.4,37617.44,469,150.3581,185.0178,5774.885,"K04","Persister","S59"
"125",406737.1,121067.5,374,80723.51,23528.96,374,53.70094,302.0826,5474.786,"K05","Persister","S75"
"126",403806.8,111863.4,382,73596.52,20403.04,382,169.0443,57.27661,1744.79,"K06","Persister","S91"
"127",422168.8,109374.7,407,75023.94,21076.16,407,-17.87057,636.0232,5215.002,"K07","Persister","S107"
"128",494851.6,142410.2,407,103452.2,26919.2,407,154.3133,7.60659,2529.256,"K08","Persister","S123"
"129",614814.1,144150.7,489,131410.8,31969.28,489,14.99236,56.50742,2503.292,"K09","Persister","S139"
"130",503306.3,136906.6,424,176314.5,48568.8,424,73.37498,199.2025,4565.388,"K10","Persister","S155"
"131",466662.7,126017.9,410,98559.66,26280.8,410,136.1254,238.6303,4347.495,"K11","Persister","S171"
"132",538456.8,131649.3,441,110207.6,28454.72,441,15.58006,354.9254,3826.512,"K12","Persister","S187"
"133",607367.3,157223.4,456,137852.5,36204,456,175.2233,130.3617,1849.607,"L01","Persister","S12"
"134",573917.2,139018.9,460,102878,27538.56,460,26.20662,19.87919,2361.601,"L02","Persister","S28"
"135",590724.1,119311.4,499,136128.7,33579.84,499,9.967631,74.92582,1463.536,"L03","Persister","S44"
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L04","Persister","S60"
"137",609190.3,122010.6,502,228529.3,46669.28,502,183.1764,171.2103,6708.905,"L05","Persister","S76"
"138",539617.3,131037.8,458,131138.2,34061.44,458,135.0133,150.7038,1626.014,"L06","Persister","S92"
"139",651614.2,142172.8,490,182887.8,46307.52,490,38.21399,209.7063,4787.009,"L07","Persister","S108"
"140",631979.6,153661.8,482,132551.3,33486.88,482,160.5773,258.5224,8670.539,"L08","Persister","S124"
"141",615751.6,135974.7,483,120900.8,33384.96,483,78.50766,25.4932,4160.899,"L09","Persister","S140"
"142",431639.5,93988.16,439,144845,37048.48,439,73.79331,263.8501,6385.926,"L10","Persister","S156"
"143",421842.6,106509.8,406,92680.59,25817.12,406,83.69405,253.6692,1353.124,"L11","Persister","S172"
"144",616866.8,143902.1,476,161238.7,37776.48,476,170.1579,69.15113,5085.023,"L12","Persister","S188"
"145",438670.6,124591,390,75095.06,22503.04,390,96.85558,68.3246,1165.637,"M01","Persister","S13"
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M02","Persister","S29"
"147",453720.7,115906.6,423,111286.8,31063.2,423,207.5287,135.8252,2193.978,"M03","Persister","S45"
"148",448671.3,106485.1,432,218338.3,59698.24,432,106.3085,263.7147,2550.369,"M04","Persister","S61"
"149",199560.4,76720,248,30594.89,11893.28,248,48.82327,75.46526,809.9025,"M05","Persister","S77"
"150",518429.1,122673.6,453,142089.3,35610.4,453,83.1991,21.83129,21351.13,"M06","Persister","S93"
"151",335613.5,95701.76,356,72453.75,23552.48,356,45.27998,57.92473,1189.725,"M07","Persister","S109"
"152",409499.1,120395.5,376,80145.57,22027.04,376,86.81161,22.32302,2652.825,"M08","Persister","S125"
"153",697741.1,152772.5,510,251220.1,51526.72,510,49.05163,137.2226,5305.299,"M09","Persister","S141"
"154",372234.7,106467.2,367,49032.86,14012.32,367,51.20927,6.519974,2677.656,"M10","Persister","S157"
"155",489370.7,123825,429,114193.7,28660.8,429,77.80892,821.1954,16410.93,"M11","Persister","S173"
"156",382856,102088,380,136960.1,37761.92,380,193.9727,167.7865,3600.246,"M12","Persister","S189"
"157",456240,125773.8,400,85958.56,23219.84,400,30.90665,124.7967,4996.628,"N01","Persister","S14"
"158",299168.9,106577,309,37373.31,12700.8,309,103.9741,25.58721,413.898,"N02","Persister","S30"
"159",551397.3,123883.2,497,232063.6,50338.4,497,121.4862,134.2804,2859.746,"N03","Persister","S46"
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N04","Persister","S62"
"161",509250.6,126152.3,450,146307.9,37018.24,450,209.2924,22.76357,2294.323,"N05","Persister","S78"
"162",412391.3,111908.2,390,90463.92,23153.76,390,105.3361,41.28817,3371.465,"N06","Persister","S94"
"163",430102.5,122095.7,390,104409.1,29464.96,390,193.1009,219.801,1210.643,"N07","Persister","S110"
"164",360563,99727.04,381,79163.26,22652,381,112.3849,90.01053,1457.454,"N08","Persister","S126"
"165",339541.8,100943.4,351,110871.9,33109.44,351,67.47446,104.401,1131.827,"N09","Persister","S142"
"166",336727.9,90518.4,370,124198.6,43244.32,370,167.2086,44.79578,11136.9,"N10","Persister","S158"
"167",476967.9,117989.8,441,190261,49440.16,441,100.0362,297.0219,7900.972,"N11","Persister","S174"
"168",392208.8,112956.5,373,58391.57,17321.92,373,185.1816,24.34275,592.5568,"N12","Persister","S190"
"169",379898.7,103682.9,379,67506.14,19560.8,379,125.7928,34.7978,2697.088,"O01","Persister","S15"
"170",355801,88945.92,389,99729.31,27664,389,37.09426,36.09719,6273.761,"O02","Persister","S31"
"171",428566.7,113666.6,400,86436.12,25160.8,400,15.9841,197.6814,1882.982,"O03","Persister","S47"
"172",337675.3,84468.16,378,88256.86,25164.16,378,50.57978,170.8723,1305.294,"O04","Persister","S63"
"173",426235,130930.2,373,130139,38767.68,373,31.00768,79.29498,2242.076,"O05","Persister","S79"
"174",626992.3,130726.4,496,180928.5,41241.76,496,90.19885,152.4243,4383.968,"O06","Persister","S95"
"175",366137,102968.3,369,75069.78,22228.64,369,152.6823,169.9407,1423.103,"O07","Persister","S111"
"176",431695.5,126185.9,381,83683.98,24646.72,381,159.8176,443.1215,3455.935,"O08","Persister","S127"
"177",449642.5,130410.6,391,68220.84,19528.32,391,143.95,174.2932,4243.127,"O09","Persister","S143"
"178",434969.3,118395.2,397,112547.4,31326.4,397,192.9705,43.88766,1482.421,"O10","Persister","S159"
"179",389956.6,87973.76,415,120455.4,33600,415,98.10786,119.3444,1902.67,"O11","Persister","S175"
"180",455642.4,118009.9,410,96596.55,26386.08,410,83.61608,187.0347,3725.434,"O12","Persister","S191"
"181",404639.1,103264,396,62384.04,17080,396,-49.083,87.0421,2382.696,"P01","Persister","S16"
"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P02","Persister","S32"
"183",476367.4,124579.8,425,143079.6,40312.16,425,80.18136,62.3028,2397.696,"P03","Persister","S48"
"184",439372.1,114240,412,120031.2,32875.36,412,135.7359,936.8496,7911.385,"P04","Persister","S64"
"185",434624.8,114027.2,400,117974,31038.56,400,65.42506,30.16396,1344.042,"P05","Persister","S80"
"186",496581,130957.1,417,113742.7,31207.68,417,194.4333,309.2842,4584.961,"P06","Persister","S96"
"187",353228.7,96508.16,373,93135.38,26937.12,373,105.1531,125.0282,1032.909,"P07","Persister","S112"
"188",598333.1,129496.6,491,117221,27434.4,491,81.66796,116.0503,6224.599,"P08","Persister","S128"
"189",523156.2,119616,471,155125.3,36001.28,471,163.8665,183.4595,3377.979,"P09","Persister","S144"
"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P10","Persister","S160"
"191",461142.8,109670.4,430,148580.1,32896.64,430,168.0317,122.9737,1182.671,"P11","Persister","S176"
"192",571959.9,126656.3,493,148246.2,36046.08,493,143.8686,88.8136,2510.045,"P12","Persister","S192"
"193",286658.4,99874.88,308,69060.81,24301.76,308,56.60221,48123.53,315.5947,NA,"not_sorted",NA
"194",534895.4,148852.5,424,134388.7,34973.12,424,475.5903,52214.6,305.9633,NA,"not_sorted",NA
"195",308914.6,107712.6,315,61651.95,20017.76,315,101.4045,75047.38,-665.399,NA,"not_sorted",NA
"196",319306.5,110913.6,319,52217.48,17118.08,319,58.94538,78544.95,206.4868,NA,"not_sorted",NA
"197",582163.8,130661.4,475,177314.9,43741.6,475,159.1637,147534,489.0302,NA,"not_sorted",NA
"198",517643.1,110544,489,196957.1,36657.6,489,704.5427,39012.56,148.4977,NA,"not_sorted",NA
"199",415295.9,116744.3,404,129749.4,35717.92,404,88.54308,650.8725,23.80313,NA,"not_sorted",NA
"200",321809.7,80702.72,371,123441.6,37291.52,371,223.0151,7772.479,-155.2117,NA,"not_sorted",NA
"201",301425.4,90325.76,332,117503.8,37783.2,332,570.2292,19291.99,247.7414,NA,"not_sorted",NA
"202",243874.7,79399.04,290,37208.42,12873.28,290,38.27563,12171.38,2.06564,NA,"not_sorted",NA
"203",265545.4,76442.24,316,68395.27,19028.8,316,-29.23635,39968.54,-1207.819,NA,"not_sorted",NA
"204",687616.3,170291.5,484,221828,50555.68,484,650.1766,63775.61,-1526.717,NA,"not_sorted",NA
"205",801010.8,176845.8,538,210830.3,50001.28,538,125.0961,56480.62,221.5058,NA,"not_sorted",NA
"206",352238.8,97413.12,363,100023.4,29015.84,363,133.8475,11872.49,-86.95717,NA,"not_sorted",NA
"207",311016.5,106939.8,317,78031.79,25118.24,317,86.43026,75132.62,290.2466,NA,"not_sorted",NA
"208",500802,138237.1,416,138597.9,37490.88,416,250.3352,45078.8,207.0873,NA,"not_sorted",NA
"209",323570.3,88945.92,358,110061.6,31691.52,358,6.704565,96007.3,568.6641,NA,"not_sorted",NA
"210",432567.2,124559.7,387,159891.9,45776.64,387,196.6404,116636.7,1204.548,NA,"not_sorted",NA
"211",232134.3,79416.96,279,33584.95,11696.16,279,-14.27621,765.0124,42.47434,NA,"not_sorted",NA
"212",233090.6,87138.24,271,37700.04,13810.72,271,87.02149,51296.4,-345.0665,NA,"not_sorted",NA
"213",249761,92823.36,282,45497.05,16111.2,282,78.89522,67711.81,-1091.802,NA,"not_sorted",NA
"214",405012.7,127415.7,363,106818.9,32844,363,18.78487,110842.8,830.0479,NA,"not_sorted",NA
"215",224815.2,86627.52,265,38125.17,13720,265,26.70273,32290.45,-204.1378,NA,"not_sorted",NA
"216",502501.3,126215,449,213289.3,42551.04,449,2023.331,2425.613,202.9782,NA,"not_sorted",NA
"217",334352.1,108848.3,335,85979.99,28254.24,335,426.4319,48569.84,170.7141,NA,"not_sorted",NA
"218",473470.7,126833.3,414,121820.3,35213.92,414,308.4543,26544.21,-398.1233,NA,"not_sorted",NA
"219",560368.1,118608,500,228522.7,48034.56,500,261.8488,1937.052,81.70531,NA,"not_sorted",NA
"220",479338.3,121296,425,156513.6,37356.48,425,198.5845,48898.35,-506.9115,NA,"not_sorted",NA
"221",361105.7,106901.8,359,113571.6,33866.56,359,127.6067,124560.7,1772.896,NA,"not_sorted",NA
"222",529251.5,138066.9,442,210867.9,54315.52,442,57.38864,21087.24,-445.4239,NA,"not_sorted",NA
"223",430315.7,119192.6,395,94112.27,25346.72,395,114.4206,1342.059,-92.40845,NA,"not_sorted",NA
"224",557018,128952.3,469,169028.4,38709.44,469,388.9182,84590.38,-703.6788,NA,"not_sorted",NA
"225",373550.7,112976.6,361,93177.62,27839.84,361,142.3029,151549.1,576.0778,NA,"not_sorted",NA
"226",268417.1,85023.68,307,80032.67,24731.84,307,172.9894,314.4815,62.80597,NA,"not_sorted",NA
"227",556778.7,136926.7,451,209108.8,55868.96,451,135.3995,10465.84,86.85591,NA,"not_sorted",NA
"228",646426.8,151746.6,483,203791.7,55669.6,483,429.2117,37475.58,74.07999,NA,"not_sorted",NA
"229",365322.2,105732.5,366,70408.72,20685.28,366,119.5708,33449.96,218.7043,NA,"not_sorted",NA
"230",501412.3,117427.5,456,200685.8,42439.04,456,157.5312,148435.9,1608.133,NA,"not_sorted",NA
"231",297020.7,104643.8,309,57004.29,18102.56,309,172.7292,54460.36,-546.8524,NA,"not_sorted",NA
"232",344168.4,102746.6,351,116612.1,35010.08,351,97.74032,196661.4,2600.05,NA,"not_sorted",NA
"233",346451.7,93923.2,365,123090.3,39048.8,365,83.43555,73709.62,-563.183,NA,"not_sorted",NA
"234",227479.1,74300.8,284,51057.01,17386.88,284,206.7146,15645.26,-259.8704,NA,"not_sorted",NA
"235",583519.1,133840,470,232447.4,59557.12,470,340.8496,20527.38,-145.5297,NA,"not_sorted",NA
"236",672942.8,137592,530,294082.6,55991.04,530,377.5625,17439.57,-240.0216,NA,"not_sorted",NA
"237",263409.7,93228.8,294,70064.75,23125.76,294,112.7958,78057.32,307.2715,NA,"not_sorted",NA
"238",345121.3,121072,327,48863.45,16461.76,327,10.4251,6192.548,-154.771,NA,"not_sorted",NA
"239",522336.8,134469.4,434,182679.4,44169.44,434,605.4137,177652,-851.113,NA,"not_sorted",NA
"240",407546.8,103414.1,407,176598.9,48456.8,407,107.2928,40640.22,-590.2768,NA,"not_sorted",NA
"241",271262.8,97442.24,296,51273.76,18187.68,296,22.69928,49944.57,-82.00436,NA,"not_sorted",NA
"242",396471.4,110647,381,72623.14,20455.68,381,86.24599,8557.262,33.22928,NA,"not_sorted",NA
"243",290671.7,97283.2,312,54501.09,17542.56,312,-22.62286,106863.5,401.353,NA,"not_sorted",NA
"244",287885,105262.1,302,75203.13,26597.76,302,76.60523,81626.28,-82.46524,NA,"not_sorted",NA
"245",456645.5,130471,397,124148.7,35473.76,397,16.54147,325.4924,1009.673,NA,"not_sorted",NA
"246",252297.6,91815.36,284,31851.61,11086.88,284,84.92702,7659.055,-132.8763,NA,"not_sorted",NA
"247",350432.9,126351.7,324,49704.44,16825.76,324,52.32232,58596.68,-20.8348,NA,"not_sorted",NA
"248",297391.7,102258.2,312,71993.82,23139.2,312,107.2962,105133.6,-1450.46,NA,"not_sorted",NA
"249",544058.8,126271,463,181937.9,42353.92,463,88.00756,15499.56,-213.0752,NA,"not_sorted",NA
"250",460326.4,137780.2,391,152905.2,37124.64,391,46984.13,3245.241,150.1574,NA,"not_sorted",NA
"251",331361.6,100959,343,105145.3,31352.16,343,187.8163,523.7845,83.09049,NA,"not_sorted",NA
"252",450852.7,115321.9,420,128952.8,34715.52,420,224.8069,49039.3,167.099,NA,"not_sorted",NA
"253",295187.4,92509.76,322,72830.66,23574.88,322,46.75336,15736.31,-34.25141,NA,"not_sorted",NA
"254",531320.3,134713.6,450,184844.3,45987.2,450,249.3497,43698.62,35.92625,NA,"not_sorted",NA
"255",731220.5,156417,509,224671.9,51469.6,509,126.0979,5669.229,101.9303,NA,"not_sorted",NA
"256",404566.2,91038.08,426,130843.2,30530.08,426,448.1397,19524.07,-354.296,NA,"not_sorted",NA
"257",317445,104733.4,327,44699.38,14110.88,327,6.550108,486.6854,-66.62959,NA,"not_sorted",NA
"258",685784,169915.2,491,171975,41657.28,491,289.1845,43517.26,-350.9884,NA,"not_sorted",NA
"259",312135.1,102760,322,88250.73,29761.76,322,261.4536,93164.6,661.4791,NA,"not_sorted",NA
"260",304212.6,93434.88,331,46048.63,14075.04,331,39.3383,645.977,27.38769,NA,"not_sorted",NA
"261",708683.6,159582.1,508,318844.5,74182.08,508,188.5204,106775.3,334.3989,NA,"not_sorted",NA
"262",331241.6,103859.8,336,56045.01,17867.36,336,58.88808,25763.5,77.82711,NA,"not_sorted",NA
